pair_id,variant,actual_person,subject,prefix_text,target_form,layer,correct_candidate_form,correct_candidate_type,correct_candidate_tokens,correct_candidate_token_ids,correct_score_sum,best_wrong_score_sum,person_margin_sum,correct_form_rank_sum,best_wrong_person_sum,best_wrong_form_sum,selected_person_sum,selected_form_sum,selected_is_correct_sum,correct_score_mean,best_wrong_score_mean,person_margin_mean,correct_form_rank_mean,best_wrong_person_mean,best_wrong_form_mean,selected_person_mean,selected_form_mean,selected_is_correct_mean,condition,condition_label,cue_type
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,11,gidiyoruz,A_merged,gidiyoruz,19015,-3.9021477699279785,-2.9341702461242676,-0.9679775238037109,3,1s,gidiyorum,1s,gidiyorum,False,-3.9021477699279785,-2.5059025287628174,-1.3962452411651611,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,1s,,Her gün okula ,gidiyorum,11,gidiyorum,A_merged,gidiyorum,23301,-2.9341702461242676,-3.014890193939209,0.0807199478149414,1,3s,gidiyor,1s,gidiyorum,True,-2.9341702461242676,-2.5059025287628174,-0.4282677173614502,2,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_2p,ambiguous_prodrop,2p,,Her gün okula ,gidiyorsunuz,11,gidiyorsunuz,B_suffix_split,gidiyor | sunuz,6215 | 1711,-5.011805057525635,-2.9341702461242676,-2.077634811401367,5,1s,gidiyorum,1s,gidiyorum,False,-2.5059025287628174,-2.9341702461242676,0.4282677173614502,1,1s,gidiyorum,2p,gidiyorsunuz,True,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_2s,ambiguous_prodrop,2s,,Her gün okula ,gidiyorsun,11,gidiyorsun,B_suffix_split,gidiyor | sun,6215 | 833,-6.104401588439941,-2.9341702461242676,-3.170231342315674,6,1s,gidiyorum,1s,gidiyorum,False,-3.0522007942199707,-2.5059025287628174,-0.5462982654571533,4,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_3p,ambiguous_prodrop,3p,,Her gün okula ,gidiyorlar,11,gidiyorlar,A_merged,gidiyorlar,41311,-4.936613082885742,-2.9341702461242676,-2.0024428367614746,4,1s,gidiyorum,1s,gidiyorum,False,-4.936613082885742,-2.5059025287628174,-2.430710554122925,6,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_3s,ambiguous_prodrop,3s,,Her gün okula ,gidiyor,11,gidiyor,A_merged,gidiyor,6215,-3.014890193939209,-2.9341702461242676,-0.0807199478149414,2,1s,gidiyorum,1s,gidiyorum,False,-3.014890193939209,-2.5059025287628174,-0.5089876651763916,3,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_possessive_person_1p,possessive_person,1p,,Çantamız hazır. Yola ,çıkıyoruz,11,çıkıyoruz,A_merged,çıkıyoruz,31917,-2.5742993354797363,-6.0843305587768555,3.510031223297119,1,3s,çıkıyor,1p,çıkıyoruz,True,-2.5742993354797363,-3.3926007747650146,0.8183014392852783,1,1s,çıkıyorum,1p,çıkıyoruz,True,possessive_person,Possessive person,possessive_suffix
phase1_possessive_person_1s,possessive_person,1s,,Çantam hazır. Yola ,çıkıyorum,11,çıkıyorum,C_multi_split,çık | ıyorum,573 | 1605,-3.2741687297821045,-4.992260932922363,1.7180922031402588,1,1p,çıkıyoruz,1s,çıkıyorum,True,-1.6370843648910522,-4.551442861557007,2.9143584966659546,1,2p,çıkıyorsunuz,1s,çıkıyorum,True,possessive_person,Possessive person,possessive_suffix
phase1_possessive_person_2p,possessive_person,2p,,Çantanız hazır. Yola ,çıkıyorsunuz,11,çıkıyorsunuz,B_suffix_split,çıkıyor | sunuz,4654 | 1711,-5.478602111339569,-3.4852495193481445,-1.9933525919914246,3,1p,çıkıyoruz,1p,çıkıyoruz,False,-2.7393010556697845,-3.4852495193481445,0.74594846367836,1,1p,çıkıyoruz,2p,çıkıyorsunuz,True,possessive_person,Possessive person,possessive_suffix
phase1_possessive_person_2s,possessive_person,2s,,Çantan hazır. Yola ,çıkıyorsun,11,çıkıyorsun,B_suffix_split,çıkıyor | sun,4654 | 833,-6.561742067337036,-3.245039463043213,-3.3167026042938232,5,1p,çıkıyoruz,1p,çıkıyoruz,False,-3.280871033668518,-2.606355667114258,-0.6745153665542603,4,1s,çıkıyorum,1s,çıkıyorum,False,possessive_person,Possessive person,possessive_suffix
phase1_possessive_person_3p,possessive_person,3p,,Çantaları hazır. Yola ,çıkıyorlar,11,çıkıyorlar,C_multi_split,çık | ıyorlar,573 | 2876,-6.330701112747192,-3.5350182056427,-2.795682907104492,5,1p,çıkıyoruz,1p,çıkıyoruz,False,-3.165350556373596,-2.6601308584213257,-0.5052196979522705,3,2p,çıkıyorsunuz,2p,çıkıyorsunuz,False,possessive_person,Possessive person,possessive_suffix
phase1_possessive_person_3s,possessive_person,3s,,Çantası hazır. Yola ,çıkıyor,11,çıkıyor,A_merged,çıkıyor,4654,-3.799409866333008,-4.004851341247559,0.20544147491455078,1,1p,çıkıyoruz,3s,çıkıyor,True,-3.799409866333008,-2.8120921850204468,-0.987317681312561,5,2p,çıkıyorsunuz,2p,çıkıyorsunuz,False,possessive_person,Possessive person,possessive_suffix
