pair_id,variant,actual_person,subject,prefix_text,target_form,layer,correct_candidate_form,correct_candidate_type,correct_candidate_tokens,correct_candidate_token_ids,correct_score_sum,best_wrong_score_sum,person_margin_sum,correct_form_rank_sum,best_wrong_person_sum,best_wrong_form_sum,selected_person_sum,selected_form_sum,selected_is_correct_sum,correct_score_mean,best_wrong_score_mean,person_margin_mean,correct_form_rank_mean,best_wrong_person_mean,best_wrong_form_mean,selected_person_mean,selected_form_mean,selected_is_correct_mean,condition,condition_label,cue_type
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,0,gidiyoruz,A_merged,gidiyoruz,19015,-644.5890502929688,-640.9400634765625,-3.64898681640625,4,3s,gidiyor,3s,gidiyor,False,-644.5890502929688,-364.88113021850586,-279.7079200744629,6,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,1,gidiyoruz,A_merged,gidiyoruz,19015,-489.1380310058594,-484.4312744140625,-4.706756591796875,6,3s,gidiyor,3s,gidiyor,False,-489.1380310058594,-242.622019469738,-246.51601153612137,6,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,2,gidiyoruz,A_merged,gidiyoruz,19015,-178.80337524414062,-174.76602172851562,-4.037353515625,5,3s,gidiyor,3s,gidiyor,False,-178.80337524414062,-87.9318078160286,-90.87156742811203,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,3,gidiyoruz,A_merged,gidiyoruz,19015,-212.36639404296875,-208.4141387939453,-3.9522552490234375,5,3s,gidiyor,3s,gidiyor,False,-212.36639404296875,-105.02284646034241,-107.34354758262634,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,4,gidiyoruz,A_merged,gidiyoruz,19015,-175.42662048339844,-171.9226531982422,-3.50396728515625,5,3s,gidiyor,3s,gidiyor,False,-175.42662048339844,-86.7762861251831,-88.65033435821533,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,5,gidiyoruz,A_merged,gidiyoruz,19015,-8.88802719116211,-5.374414443969727,-3.513612747192383,4,3s,gidiyor,3s,gidiyor,False,-8.88802719116211,-4.182619571685791,-4.705407619476318,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,6,gidiyoruz,A_merged,gidiyoruz,19015,-9.044973373413086,-5.721663475036621,-3.323309898376465,4,3s,gidiyor,3s,gidiyor,False,-9.044973373413086,-3.9558191299438477,-5.089154243469238,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,7,gidiyoruz,A_merged,gidiyoruz,19015,-8.412353515625,-5.715874195098877,-2.696479320526123,4,3s,gidiyor,3s,gidiyor,False,-8.412353515625,-3.306326746940613,-5.106026768684387,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,8,gidiyoruz,A_merged,gidiyoruz,19015,-8.286458015441895,-4.832283973693848,-3.454174041748047,5,3s,gidiyor,3s,gidiyor,False,-8.286458015441895,-2.975569009780884,-5.310889005661011,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,,Her gün okula ,gidiyoruz,9,gidiyoruz,A_merged,gidiyoruz,19015,-6.25911283493042,-3.2749743461608887,-2.9841384887695312,5,3s,gidiyor,3s,gidiyor,False,-6.25911283493042,-2.113788992166519,-4.145323842763901,5,2p,gidiyorsunuz,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none
