pair_id,variant,actual_person,target_form,correct_candidate_form,margin_metric,initial_margin,final_margin,best_margin,best_margin_layer,first_positive_margin_layer,critical_from_layer,critical_to_layer,critical_margin_increase,final_correct_form_rank_mean,final_selected_person_mean,final_selected_form_mean,final_selected_is_correct_mean,condition,condition_label,cue_type,prefix_text,full_text
phase1_ambiguous_prodrop_1p,ambiguous_prodrop,1p,gidiyoruz,gidiyoruz,person_margin_mean,-279.7079200744629,-1.3962452411651611,-1.3962452411651611,11,,1,2,155.64444410800934,5,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none,Her gün okula ,Her gün okula gidiyoruz.
phase1_ambiguous_prodrop_1s,ambiguous_prodrop,1s,gidiyorum,gidiyorum,person_margin_mean,-278.34567642211914,-0.4282677173614502,-0.4282677173614502,11,,1,2,155.47017347812653,2,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none,Her gün okula ,Her gün okula gidiyorum.
phase1_ambiguous_prodrop_2p,ambiguous_prodrop,2p,gidiyorsunuz,gidiyorsunuz,person_margin_mean,0.4528045654296875,0.4282677173614502,1.1898436546325684,7,0.0,5,6,0.5322487354278564,1,2p,gidiyorsunuz,True,ambiguous_prodrop,Ambiguous pro-drop,none,Her gün okula ,Her gün okula gidiyorsunuz.
phase1_ambiguous_prodrop_2s,ambiguous_prodrop,2s,gidiyorsun,gidiyorsun,person_margin_mean,-0.4528045654296875,-0.5462982654571533,-0.2150721549987793,3,,9,10,0.548648327589035,4,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none,Her gün okula ,Her gün okula gidiyorsun.
phase1_ambiguous_prodrop_3p,ambiguous_prodrop,3p,gidiyorlar,gidiyorlar,person_margin_mean,-278.34701919555664,-2.430710554122925,-2.430710554122925,11,,1,2,154.0489240884781,6,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none,Her gün okula ,Her gün okula gidiyorlar.
phase1_ambiguous_prodrop_3s,ambiguous_prodrop,3s,gidiyor,gidiyor,person_margin_mean,-276.05893325805664,-0.5089876651763916,-0.5089876651763916,11,,1,2,154.97504103183746,3,2p,gidiyorsunuz,False,ambiguous_prodrop,Ambiguous pro-drop,none,Her gün okula ,Her gün okula gidiyor.
phase1_possessive_person_1p,possessive_person,1p,çıkıyoruz,çıkıyoruz,person_margin_mean,-216.38579940795898,0.8183014392852783,1.3191413879394531,10,6.0,2,3,102.80314445495605,1,1p,çıkıyoruz,True,possessive_person,Possessive person,possessive_suffix,Çantamız hazır. Yola ,Çantamız hazır. Yola çıkıyoruz.
phase1_possessive_person_1s,possessive_person,1s,çıkıyorum,çıkıyorum,person_margin_mean,-153.86399841308594,2.9143584966659546,2.9143584966659546,11,8.0,3,4,122.26387941837311,1,1s,çıkıyorum,True,possessive_person,Possessive person,possessive_suffix,Çantam hazır. Yola ,Çantam hazır. Yola çıkıyorum.
phase1_possessive_person_2p,possessive_person,2p,çıkıyorsunuz,çıkıyorsunuz,person_margin_mean,0.7537422180175781,0.74594846367836,1.9519100189208984,7,0.0,6,7,3.9367427825927734,1,2p,çıkıyorsunuz,True,possessive_person,Possessive person,possessive_suffix,Çantanız hazır. Yola ,Çantanız hazır. Yola çıkıyorsunuz.
phase1_possessive_person_2s,possessive_person,2s,çıkıyorsun,çıkıyorsun,person_margin_mean,-0.5907821655273438,-0.6745153665542603,0.34075164794921875,3,2.0,1,2,0.6634144634008408,4,1s,çıkıyorum,False,possessive_person,Possessive person,possessive_suffix,Çantan hazır. Yola ,Çantan hazır. Yola çıkıyorsun.
phase1_possessive_person_3p,possessive_person,3p,çıkıyorlar,çıkıyorlar,person_margin_mean,-160.49230194091797,-0.5052196979522705,-0.3960402011871338,10,,3,4,134.25719192624092,3,2p,çıkıyorsunuz,False,possessive_person,Possessive person,possessive_suffix,Çantaları hazır. Yola ,Çantaları hazır. Yola çıkıyorlar.
phase1_possessive_person_3s,possessive_person,3s,çıkıyor,çıkıyor,person_margin_mean,-208.44252014160156,-0.987317681312561,1.8016881942749023,7,6.0,2,3,82.23531740903854,5,2p,çıkıyorsunuz,False,possessive_person,Possessive person,possessive_suffix,Çantası hazır. Yola ,Çantası hazır. Yola çıkıyor.
phase1_prior_predicate_person_1p,prior_predicate_person,1p,dinleniyoruz,dinleniyoruz,person_margin_mean,-3.4461034138997206,0.29152774810791016,0.29152774810791016,11,11.0,6,7,28.056035916010543,1,1p,dinleniyoruz,True,prior_predicate_person,Prior predicate person,finite_predicate,Az önce geldik. Biraz ,Az önce geldik. Biraz dinleniyoruz.
phase1_prior_predicate_person_1s,prior_predicate_person,1s,dinleniyorum,dinleniyorum,person_margin_mean,0.4587559700012207,0.07379508018493652,0.4587559700012207,0,0.0,6,7,25.759089549382537,1,1s,dinleniyorum,True,prior_predicate_person,Prior predicate person,finite_predicate,Az önce geldim. Biraz ,Az önce geldim. Biraz dinleniyorum.
phase1_prior_predicate_person_2p,prior_predicate_person,2p,dinleniyorsunuz,dinleniyorsunuz,person_margin_mean,0.8196614583332575,1.2678844730059309,2.2493343949317914,9,0.0,5,6,0.5494390328725274,1,2p,dinleniyorsunuz,True,prior_predicate_person,Prior predicate person,finite_predicate,Az önce geldiniz. Biraz ,Az önce geldiniz. Biraz dinleniyorsunuz.
