condition,actual_person,candidate_person,candidate_form,candidate_type,candidate_tokens,candidate_token_ids,candidate_read_positions
ambiguous_prodrop,1s,1s,gidiyorum,A_merged,gidiyorum,23301,2
ambiguous_prodrop,1s,2s,gidiyorsun,B_suffix_split,gidiyor | sun,6215 | 833,2 | 3
ambiguous_prodrop,1s,3s,gidiyor,A_merged,gidiyor,6215,2
ambiguous_prodrop,1s,1p,gidiyoruz,A_merged,gidiyoruz,19015,2
ambiguous_prodrop,1s,2p,gidiyorsunuz,B_suffix_split,gidiyor | sunuz,6215 | 1711,2 | 3
ambiguous_prodrop,1s,3p,gidiyorlar,A_merged,gidiyorlar,41311,2
ambiguous_prodrop,2s,1s,gidiyorum,A_merged,gidiyorum,23301,2
ambiguous_prodrop,2s,2s,gidiyorsun,B_suffix_split,gidiyor | sun,6215 | 833,2 | 3
ambiguous_prodrop,2s,3s,gidiyor,A_merged,gidiyor,6215,2
ambiguous_prodrop,2s,1p,gidiyoruz,A_merged,gidiyoruz,19015,2
ambiguous_prodrop,2s,2p,gidiyorsunuz,B_suffix_split,gidiyor | sunuz,6215 | 1711,2 | 3
ambiguous_prodrop,2s,3p,gidiyorlar,A_merged,gidiyorlar,41311,2
ambiguous_prodrop,3s,1s,gidiyorum,A_merged,gidiyorum,23301,2
ambiguous_prodrop,3s,2s,gidiyorsun,B_suffix_split,gidiyor | sun,6215 | 833,2 | 3
ambiguous_prodrop,3s,3s,gidiyor,A_merged,gidiyor,6215,2
ambiguous_prodrop,3s,1p,gidiyoruz,A_merged,gidiyoruz,19015,2
ambiguous_prodrop,3s,2p,gidiyorsunuz,B_suffix_split,gidiyor | sunuz,6215 | 1711,2 | 3
ambiguous_prodrop,3s,3p,gidiyorlar,A_merged,gidiyorlar,41311,2
ambiguous_prodrop,1p,1s,gidiyorum,A_merged,gidiyorum,23301,2
ambiguous_prodrop,1p,2s,gidiyorsun,B_suffix_split,gidiyor | sun,6215 | 833,2 | 3
ambiguous_prodrop,1p,3s,gidiyor,A_merged,gidiyor,6215,2
ambiguous_prodrop,1p,1p,gidiyoruz,A_merged,gidiyoruz,19015,2
ambiguous_prodrop,1p,2p,gidiyorsunuz,B_suffix_split,gidiyor | sunuz,6215 | 1711,2 | 3
ambiguous_prodrop,1p,3p,gidiyorlar,A_merged,gidiyorlar,41311,2
ambiguous_prodrop,2p,1s,gidiyorum,A_merged,gidiyorum,23301,2
ambiguous_prodrop,2p,2s,gidiyorsun,B_suffix_split,gidiyor | sun,6215 | 833,2 | 3
ambiguous_prodrop,2p,3s,gidiyor,A_merged,gidiyor,6215,2
ambiguous_prodrop,2p,1p,gidiyoruz,A_merged,gidiyoruz,19015,2
