pair_id,variant,actual_person,subject,prefix_text,target_form,layer,correct_candidate_form,correct_candidate_type,correct_candidate_tokens,correct_candidate_token_ids,correct_score_sum,best_wrong_score_sum,person_margin_sum,correct_form_rank_sum,best_wrong_person_sum,best_wrong_form_sum,selected_person_sum,selected_form_sum,selected_is_correct_sum,correct_score_mean,best_wrong_score_mean,person_margin_mean,correct_form_rank_mean,best_wrong_person_mean,best_wrong_form_mean,selected_person_mean,selected_form_mean,selected_is_correct_mean,condition,condition_label,cue_type
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,0,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-975.9721546173096,-973.9203662872314,-2.051788330078125,3,3s,dinleniyor,3s,dinleniyor,False,-487.9860773086548,-470.26676909128827,-17.719308217366518,5,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,1,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-838.899055480957,-836.965386390686,-1.933669090270996,2,1s,dinleniyorum,1s,dinleniyorum,False,-419.4495277404785,-279.73739860455197,-139.71212913592655,4,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,2,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-557.4621963500977,-555.0132541656494,-2.448942184448242,4,1s,dinleniyorum,1s,dinleniyorum,False,-278.7310981750488,-185.65523621439934,-93.07586196064949,5,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,3,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-371.5140571594238,-370.403470993042,-1.110586166381836,3,1s,dinleniyorum,1s,dinleniyorum,False,-185.7570285797119,-125.84548060099284,-59.91154797871907,5,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,4,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-357.94408226013184,-356.8663387298584,-1.0777435302734375,3,1s,dinleniyorum,1s,dinleniyorum,False,-178.97204113006592,-119.445365746816,-59.52667538324992,5,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,5,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-221.94616603851318,-220.80078887939453,-1.1453771591186523,3,1s,dinleniyorum,1s,dinleniyorum,False,-110.97308301925659,-74.42915383974712,-36.543929179509476,5,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,6,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-145.2854084968567,-144.5561122894287,-0.7292962074279785,3,1s,dinleniyorum,1s,dinleniyorum,False,-72.64270424842834,-49.01844612757365,-23.624258120854698,5,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,7,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-93.8536548614502,-93.36205005645752,-0.4916048049926758,2,1s,dinleniyorum,1s,dinleniyorum,False,-46.9268274307251,-31.9302237033844,-14.996603727340698,4,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,8,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-75.57098484039307,-76.06148910522461,0.49050426483154297,1,1s,dinleniyorum,1p,dinleniyoruz,True,-37.78549242019653,-26.408686955769856,-11.376805464426678,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,9,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-23.335644721984863,-24.03353500366211,0.6978902816772461,1,1s,dinleniyorum,1p,dinleniyoruz,True,-11.667822360992432,-9.229694286982218,-2.438128074010214,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,10,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-10.6001615524292,-11.996628046035767,1.3964664936065674,1,3s,dinleniyor,1p,dinleniyoruz,True,-5.3000807762146,-5.143497705459595,-0.15658307075500488,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,,Çok yorulduk. Bu yüzden ,dinleniyoruz,11,dinleniyoruz,C_multi_split,dinlen | iyoruz,10316 | 1158,-9.921208381652832,-11.629170417785645,1.7079620361328125,1,3s,dinleniyor,1p,dinleniyoruz,True,-4.960604190826416,-5.191984574000041,0.23138038317362497,1,2p,dinleniyorsunuz,1p,dinleniyoruz,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,0,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-977.6989126205444,-976.7310199737549,-0.9678926467895508,2,3s,dinleniyor,3s,dinleniyor,False,-488.8494563102722,-472.56866455078125,-16.280791759490967,4,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,1,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-828.994029045105,-831.1518087387085,2.1577796936035156,1,3s,dinleniyor,1s,dinleniyorum,True,-414.4970145225525,-277.14679807424545,-137.35021644830704,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,2,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-565.6941542625427,-567.3601531982422,1.665998935699463,1,3s,dinleniyor,1s,dinleniyorum,True,-282.84707713127136,-189.2655259569486,-93.58155117432275,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,3,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-362.86359310150146,-364.1807780265808,1.3171849250793457,1,3s,dinleniyor,1s,dinleniyorum,True,-181.43179655075073,-121.78934240341187,-59.64245414733887,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,4,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-399.27651596069336,-400.6470341682434,1.3705182075500488,1,3s,dinleniyor,1s,dinleniyorum,True,-199.63825798034668,-133.84547356764475,-65.79278441270193,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,5,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-306.3593649864197,-307.175669670105,0.8163046836853027,1,3s,dinleniyor,1s,dinleniyorum,True,-153.17968249320984,-102.97683449586232,-50.20284799734752,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,6,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-212.3813600540161,-213.1634464263916,0.7820863723754883,1,3s,dinleniyor,1s,dinleniyorum,True,-106.19068002700806,-71.71402355035146,-34.4766564766566,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,7,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-99.2035231590271,-101.73629856109619,2.532775402069092,1,3s,dinleniyor,1s,dinleniyorum,True,-49.60176157951355,-34.306116660436,-15.295644919077553,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,8,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-84.72486114501953,-87.28095531463623,2.556094169616699,1,3s,dinleniyor,1s,dinleniyorum,True,-42.362430572509766,-29.867321650187176,-12.49510892232259,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,,Çok yoruldum. Bu yüzden ,dinleniyorum,9,dinleniyorum,C_multi_split,dinlen | iyorum,10316 | 1066,-39.43023896217346,-42.808778285980225,3.3785393238067627,1,3s,dinleniyor,1s,dinleniyorum,True,-19.71511948108673,-15.261513710021973,-4.453605771064758,3,2p,dinleniyorsunuz,2p,dinleniyorsunuz,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control
