pair_id,variant,actual_person,target_form,correct_candidate_form,margin_metric,initial_margin,final_margin,best_margin,best_margin_layer,first_positive_margin_layer,critical_from_layer,critical_to_layer,critical_margin_increase,final_correct_form_rank_mean,final_selected_person_mean,final_selected_form_mean,final_selected_is_correct_mean,condition,condition_label,cue_type,prefix_text,full_text
phase1_control_mixed_token_dinlenmek_1p,control_mixed_token_dinlenmek,1p,dinleniyoruz,dinleniyoruz,person_margin_mean,-17.719308217366518,0.23138038317362497,0.23138038317362497,11,11.0,1,2,46.636267175277055,1,1p,dinleniyoruz,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control,Çok yorulduk. Bu yüzden ,Çok yorulduk. Bu yüzden dinleniyoruz.
phase1_control_mixed_token_dinlenmek_1s,control_mixed_token_dinlenmek,1s,dinleniyorum,dinleniyorum,person_margin_mean,-16.280791759490967,0.22847835222880075,0.29082703590393066,10,10.0,1,2,43.76866527398428,1,1s,dinleniyorum,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control,Çok yoruldum. Bu yüzden ,Çok yoruldum. Bu yüzden dinleniyorum.
phase1_control_mixed_token_dinlenmek_2p,control_mixed_token_dinlenmek,2p,dinleniyorsunuz,dinleniyorsunuz,person_margin_mean,-6.482120513916016,1.127454717954,2.012496903538705,9,1.0,0,1,7.232787162065506,1,2p,dinleniyorsunuz,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control,Çok yoruldunuz. Bu yüzden ,Çok yoruldunuz. Bu yüzden dinleniyorsunuz.
phase1_control_mixed_token_dinlenmek_2s,control_mixed_token_dinlenmek,2s,dinleniyorsun,dinleniyorsun,person_margin_mean,-0.641204833984375,1.0676512718200684,1.0760606427987418,10,8.0,7,8,0.8686514298121137,1,2s,dinleniyorsun,True,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control,Çok yoruldun. Bu yüzden ,Çok yoruldun. Bu yüzden dinleniyorsun.
phase1_control_mixed_token_dinlenmek_3p,control_mixed_token_dinlenmek,3p,dinleniyorlar,dinleniyorlar,person_margin_mean,-19.661672274271666,-0.281108220418294,0.3755357265472412,9,9.0,1,2,45.776635189851135,3,2s,dinleniyorsun,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control,Çok yoruldular. Bu yüzden ,Çok yoruldular. Bu yüzden dinleniyorlar.
phase1_control_mixed_token_dinlenmek_3s,control_mixed_token_dinlenmek,3s,dinleniyor,dinleniyor,person_margin_mean,-18.862101872762025,-0.42327670256296823,-0.42327670256296823,11,,1,2,44.571506544947596,3,2s,dinleniyorsun,False,control_mixed_token_dinlenmek,Control: mixed-token dinlenmek,finite_predicate_control,Çok yoruldu. Bu yüzden ,Çok yoruldu. Bu yüzden dinleniyor.
phase1_control_token_matched_yapmak_1p,control_token_matched_yapmak,1p,yapıyoruz,yapıyoruz,person_margin_mean,1.4742069244384766,1.7987828254699707,2.1409239768981934,10,0.0,3,4,1.0843534469604492,1,1p,yapıyoruz,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control,Çok acıktık. Bu yüzden kahvaltı ,Çok acıktık. Bu yüzden kahvaltı yapıyoruz.
phase1_control_token_matched_yapmak_1s,control_token_matched_yapmak,1s,yapıyorum,yapıyorum,person_margin_mean,-3.1150646209716797,1.6920337677001953,1.6920337677001953,11,8.0,0,1,1.4005460739135742,1,1s,yapıyorum,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control,Çok acıktım. Bu yüzden kahvaltı ,Çok acıktım. Bu yüzden kahvaltı yapıyorum.
phase1_control_token_matched_yapmak_2p,control_token_matched_yapmak,2p,yapıyorsunuz,yapıyorsunuz,person_margin_mean,-6.721184730529785,-1.3255786895751953,-1.3255786895751953,11,,9,10,1.2069029808044434,4,1p,yapıyoruz,False,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control,Çok acıktınız. Bu yüzden kahvaltı ,Çok acıktınız. Bu yüzden kahvaltı yapıyorsunuz.
phase1_control_token_matched_yapmak_2s,control_token_matched_yapmak,2s,yapıyorsun,yapıyorsun,person_margin_mean,-7.667530059814453,-1.4860529899597168,-1.4860529899597168,11,,9,10,2.7033653259277344,4,1s,yapıyorum,False,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control,Çok acıktın. Bu yüzden kahvaltı ,Çok acıktın. Bu yüzden kahvaltı yapıyorsun.
phase1_control_token_matched_yapmak_3p,control_token_matched_yapmak,3p,yapıyorlar,yapıyorlar,person_margin_mean,-4.449357986450195,-0.9534835815429688,-0.9534835815429688,11,,7,8,1.1657910346984863,4,1p,yapıyoruz,False,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control,Çok acıktılar. Bu yüzden kahvaltı ,Çok acıktılar. Bu yüzden kahvaltı yapıyorlar.
phase1_control_token_matched_yapmak_3s,control_token_matched_yapmak,3s,yapıyor,yapıyor,person_margin_mean,-1.5827093124389648,0.035247802734375,0.4879169464111328,1,1.0,0,1,2.0706262588500977,1,3s,yapıyor,True,control_token_matched_yapmak,Control: token-matched yapmak,finite_predicate_control,Çok acıktı. Bu yüzden kahvaltı ,Çok acıktı. Bu yüzden kahvaltı yapıyor.
