pair_id,variant,actual_person,candidate_person,is_correct,subject,prefix_text,target_form,candidate_form,candidate_text,candidate_type,candidate_n_tokens,candidate_tokens,candidate_token_ids,verb_start,verb_end,candidate_token_positions,candidate_read_positions,sentence_tokens,sentence_token_ids
pilot_gitmek_simdiki_1s,overt,1s,1s,True,Ben,Ben her gün okula ,gidiyorum,gidiyorum,Ben her gün okula gidiyorum,A_merged,1,gidiyorum,23301,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorum,2524 | 556 | 543 | 9735 | 23301
pilot_gitmek_simdiki_1s,overt,1s,2s,False,Ben,Ben her gün okula ,gidiyorum,gidiyorsun,Ben her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,4,5,4 | 5,3 | 4,Ben |  her |  gün |  okula |  gidiyor | sun,2524 | 556 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_1s,overt,1s,3s,False,Ben,Ben her gün okula ,gidiyorum,gidiyor,Ben her gün okula gidiyor,A_merged,1,gidiyor,6215,4,4,4,3,Ben |  her |  gün |  okula |  gidiyor,2524 | 556 | 543 | 9735 | 6215
pilot_gitmek_simdiki_1s,overt,1s,1p,False,Ben,Ben her gün okula ,gidiyorum,gidiyoruz,Ben her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,4,4,4,3,Ben |  her |  gün |  okula |  gidiyoruz,2524 | 556 | 543 | 9735 | 19015
pilot_gitmek_simdiki_1s,overt,1s,2p,False,Ben,Ben her gün okula ,gidiyorum,gidiyorsunuz,Ben her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,4,5,4 | 5,3 | 4,Ben |  her |  gün |  okula |  gidiyor | sunuz,2524 | 556 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_1s,overt,1s,3p,False,Ben,Ben her gün okula ,gidiyorum,gidiyorlar,Ben her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,4,4,4,3,Ben |  her |  gün |  okula |  gidiyorlar,2524 | 556 | 543 | 9735 | 41311
pilot_gitmek_simdiki_1s,prodrop,1s,1s,True,,Her gün okula ,gidiyorum,gidiyorum,Her gün okula gidiyorum,A_merged,1,gidiyorum,23301,3,3,3,2,Her |  gün |  okula |  gidiyorum,3024 | 543 | 9735 | 23301
pilot_gitmek_simdiki_1s,prodrop,1s,2s,False,,Her gün okula ,gidiyorum,gidiyorsun,Her gün okula gidiyorsun,B_suffix_split,2,gidiyor | sun,6215 | 833,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sun,3024 | 543 | 9735 | 6215 | 833
pilot_gitmek_simdiki_1s,prodrop,1s,3s,False,,Her gün okula ,gidiyorum,gidiyor,Her gün okula gidiyor,A_merged,1,gidiyor,6215,3,3,3,2,Her |  gün |  okula |  gidiyor,3024 | 543 | 9735 | 6215
pilot_gitmek_simdiki_1s,prodrop,1s,1p,False,,Her gün okula ,gidiyorum,gidiyoruz,Her gün okula gidiyoruz,A_merged,1,gidiyoruz,19015,3,3,3,2,Her |  gün |  okula |  gidiyoruz,3024 | 543 | 9735 | 19015
pilot_gitmek_simdiki_1s,prodrop,1s,2p,False,,Her gün okula ,gidiyorum,gidiyorsunuz,Her gün okula gidiyorsunuz,B_suffix_split,2,gidiyor | sunuz,6215 | 1711,3,4,3 | 4,2 | 3,Her |  gün |  okula |  gidiyor | sunuz,3024 | 543 | 9735 | 6215 | 1711
pilot_gitmek_simdiki_1s,prodrop,1s,3p,False,,Her gün okula ,gidiyorum,gidiyorlar,Her gün okula gidiyorlar,A_merged,1,gidiyorlar,41311,3,3,3,2,Her |  gün |  okula |  gidiyorlar,3024 | 543 | 9735 | 41311
